[ Train | 051/200 ] loss = 0.36888, acc = 0.86954 || [ Valid | 051/200 ] loss = 0.92833, acc = 0.74686
[ Train | 052/200 ] loss = 0.37711, acc = 0.87327 || [ Valid | 052/200 ] loss = 0.83777, acc = 0.76742 -> best
[ Train | 053/200 ] loss = 0.35646, acc = 0.87790 || [ Valid | 053/200 ] loss = 0.97398, acc = 0.72967
[ Train | 054/200 ] loss = 0.34130, acc = 0.88198 || [ Valid | 054/200 ] loss = 0.88538, acc = 0.75835
[ Train | 055/200 ] loss = 0.35860, acc = 0.87667 || [ Valid | 055/200 ] loss = 0.78839, acc = 0.76855 -> best
[ Train | 056/200 ] loss = 0.33418, acc = 0.88339 || [ Valid | 056/200 ] loss = 0.83662, acc = 0.76413
[ Train | 057/200 ] loss = 0.32790, acc = 0.88782 || [ Valid | 057/200 ] loss = 1.02781, acc = 0.72198
[ Train | 058/200 ] loss = 0.32780, acc = 0.88726 || [ Valid | 058/200 ] loss = 1.08737, acc = 0.72323
[ Train | 059/200 ] loss = 0.30772, acc = 0.89700 || [ Valid | 059/200 ] loss = 0.97044, acc = 0.74109
[ Train | 060/200 ] loss = 0.31850, acc = 0.88923 || [ Valid | 060/200 ] loss = 0.81130, acc = 0.77360 -> best
[ Train | 061/200 ] loss = 0.30285, acc = 0.89734 || [ Valid | 061/200 ] loss = 0.82895, acc = 0.77552 -> best
[ Train | 062/200 ] loss = 0.29074, acc = 0.90020 || [ Valid | 062/200 ] loss = 0.84267, acc = 0.77013
[ Train | 063/200 ] loss = 0.29727, acc = 0.89583 || [ Valid | 063/200 ] loss = 0.87362, acc = 0.76847
[ Train | 064/200 ] loss = 0.28659, acc = 0.90099 || [ Valid | 064/200 ] loss = 1.01218, acc = 0.74647
[ Train | 065/200 ] loss = 0.29002, acc = 0.90006 || [ Valid | 065/200 ] loss = 0.92594, acc = 0.76617
[ Train | 066/200 ] loss = 0.28603, acc = 0.90133 || [ Valid | 066/200 ] loss = 0.95094, acc = 0.75947
[ Train | 067/200 ] loss = 0.28627, acc = 0.90385 || [ Valid | 067/200 ] loss = 0.85441, acc = 0.78372 -> best
[ Train | 068/200 ] loss = 0.26237, acc = 0.90938 || [ Valid | 068/200 ] loss = 0.97628, acc = 0.76470
[ Train | 069/200 ] loss = 0.26332, acc = 0.90631 || [ Valid | 069/200 ] loss = 0.85818, acc = 0.78296
[ Train | 070/200 ] loss = 0.25106, acc = 0.91135 || [ Valid | 070/200 ] loss = 1.01795, acc = 0.75525
[ Train | 071/200 ] loss = 0.24610, acc = 0.91440 || [ Valid | 071/200 ] loss = 0.91363, acc = 0.77156
[ Train | 072/200 ] loss = 0.25438, acc = 0.91111 || [ Valid | 072/200 ] loss = 0.95208, acc = 0.76724
[ Train | 073/200 ] loss = 0.23705, acc = 0.91913 || [ Valid | 073/200 ] loss = 0.97878, acc = 0.75227
[ Train | 074/200 ] loss = 0.25153, acc = 0.91450 || [ Valid | 074/200 ] loss = 1.05683, acc = 0.74580
[ Train | 075/200 ] loss = 0.25141, acc = 0.91232 || [ Valid | 075/200 ] loss = 0.92602, acc = 0.77032
[ Train | 076/200 ] loss = 0.23723, acc = 0.91591 || [ Valid | 076/200 ] loss = 0.81660, acc = 0.79656 -> best
[ Train | 077/200 ] loss = 0.23668, acc = 0.91815 || [ Valid | 077/200 ] loss = 0.90212, acc = 0.76509
[ Train | 078/200 ] loss = 0.20463, acc = 0.93137 || [ Valid | 078/200 ] loss = 0.85667, acc = 0.79180
[ Train | 079/200 ] loss = 0.22410, acc = 0.92296 || [ Valid | 079/200 ] loss = 0.90548, acc = 0.77935
[ Train | 080/200 ] loss = 0.22213, acc = 0.92183 || [ Valid | 080/200 ] loss = 0.96859, acc = 0.76665
[ Train | 081/200 ] loss = 0.22863, acc = 0.92075 || [ Valid | 081/200 ] loss = 0.92606, acc = 0.77485
[ Train | 082/200 ] loss = 0.22548, acc = 0.92405 || [ Valid | 082/200 ] loss = 0.96518, acc = 0.77377
[ Train | 083/200 ] loss = 0.20890, acc = 0.92734 || [ Valid | 083/200 ] loss = 0.98656, acc = 0.77458
[ Train | 084/200 ] loss = 0.21764, acc = 0.92355 || [ Valid | 084/200 ] loss = 0.97498, acc = 0.76424
[ Train | 085/200 ] loss = 0.21454, acc = 0.92647 || [ Valid | 085/200 ] loss = 0.90240, acc = 0.78720
[ Train | 086/200 ] loss = 0.21793, acc = 0.92589 || [ Valid | 086/200 ] loss = 0.81374, acc = 0.79423
[ Train | 087/200 ] loss = 0.19094, acc = 0.93518 || [ Valid | 087/200 ] loss = 1.07227, acc = 0.76634
[ Train | 088/200 ] loss = 0.17834, acc = 0.93649 || [ Valid | 088/200 ] loss = 0.86499, acc = 0.79288
[ Train | 089/200 ] loss = 0.19386, acc = 0.93333 || [ Valid | 089/200 ] loss = 0.98416, acc = 0.77205
[ Train | 090/200 ] loss = 0.19484, acc = 0.93242 || [ Valid | 090/200 ] loss = 1.00251, acc = 0.76422
[ Train | 091/200 ] loss = 0.19261, acc = 0.93571 || [ Valid | 091/200 ] loss = 0.95902, acc = 0.76829
[ Train | 092/200 ] loss = 0.18452, acc = 0.93304 || [ Valid | 092/200 ] loss = 0.91886, acc = 0.78547
[ Train | 093/200 ] loss = 0.18555, acc = 0.93720 || [ Valid | 093/200 ] loss = 0.99725, acc = 0.76800
[ Train | 094/200 ] loss = 0.18302, acc = 0.93611 || [ Valid | 094/200 ] loss = 0.98829, acc = 0.77929
[ Train | 095/200 ] loss = 0.18594, acc = 0.93869 || [ Valid | 095/200 ] loss = 0.96654, acc = 0.79123
[ Train | 096/200 ] loss = 0.17732, acc = 0.93917 || [ Valid | 096/200 ] loss = 0.98850, acc = 0.78061
[ Train | 097/200 ] loss = 0.18410, acc = 0.93581 || [ Valid | 097/200 ] loss = 0.99780, acc = 0.76579
