[ Train | 051/200 ] loss = 0.38159, acc = 0.86820 || [ Valid | 051/200 ] loss = 0.87954, acc = 0.74853
[ Train | 052/200 ] loss = 0.35802, acc = 0.87838 || [ Valid | 052/200 ] loss = 0.76787, acc = 0.76612 -> best
[ Train | 053/200 ] loss = 0.36082, acc = 0.87454 || [ Valid | 053/200 ] loss = 0.82238, acc = 0.75740
[ Train | 054/200 ] loss = 0.34662, acc = 0.87717 || [ Valid | 054/200 ] loss = 0.88707, acc = 0.76279
[ Train | 055/200 ] loss = 0.33902, acc = 0.88457 || [ Valid | 055/200 ] loss = 1.06686, acc = 0.71901
[ Train | 056/200 ] loss = 0.33156, acc = 0.88642 || [ Valid | 056/200 ] loss = 0.81334, acc = 0.76707 -> best
[ Train | 057/200 ] loss = 0.32460, acc = 0.88932 || [ Valid | 057/200 ] loss = 1.06320, acc = 0.72696
[ Train | 058/200 ] loss = 0.31911, acc = 0.88633 || [ Valid | 058/200 ] loss = 0.90888, acc = 0.75504
[ Train | 059/200 ] loss = 0.31016, acc = 0.89363 || [ Valid | 059/200 ] loss = 0.82205, acc = 0.76694
[ Train | 060/200 ] loss = 0.32439, acc = 0.88561 || [ Valid | 060/200 ] loss = 0.85398, acc = 0.77717 -> best
[ Train | 061/200 ] loss = 0.29814, acc = 0.89953 || [ Valid | 061/200 ] loss = 0.81416, acc = 0.77605
[ Train | 062/200 ] loss = 0.28032, acc = 0.90262 || [ Valid | 062/200 ] loss = 0.95627, acc = 0.75932
[ Train | 063/200 ] loss = 0.27241, acc = 0.90616 || [ Valid | 063/200 ] loss = 0.87927, acc = 0.75690
[ Train | 064/200 ] loss = 0.29138, acc = 0.89832 || [ Valid | 064/200 ] loss = 0.87802, acc = 0.75751
[ Train | 065/200 ] loss = 0.27690, acc = 0.90308 || [ Valid | 065/200 ] loss = 0.79709, acc = 0.78349 -> best
[ Train | 066/200 ] loss = 0.26453, acc = 0.90871 || [ Valid | 066/200 ] loss = 0.90860, acc = 0.76552
[ Train | 067/200 ] loss = 0.26865, acc = 0.90757 || [ Valid | 067/200 ] loss = 0.90796, acc = 0.75857
[ Train | 068/200 ] loss = 0.27719, acc = 0.90486 || [ Valid | 068/200 ] loss = 0.85527, acc = 0.76769
[ Train | 069/200 ] loss = 0.24048, acc = 0.91450 || [ Valid | 069/200 ] loss = 0.98966, acc = 0.75739
[ Train | 070/200 ] loss = 0.26516, acc = 0.90945 || [ Valid | 070/200 ] loss = 0.84841, acc = 0.77587
[ Train | 071/200 ] loss = 0.24911, acc = 0.91338 || [ Valid | 071/200 ] loss = 1.08642, acc = 0.74376
[ Train | 072/200 ] loss = 0.24491, acc = 0.91412 || [ Valid | 072/200 ] loss = 0.96902, acc = 0.76361
[ Train | 073/200 ] loss = 0.22942, acc = 0.91852 || [ Valid | 073/200 ] loss = 0.91341, acc = 0.77252
[ Train | 074/200 ] loss = 0.23376, acc = 0.91937 || [ Valid | 074/200 ] loss = 0.96933, acc = 0.75721
[ Train | 075/200 ] loss = 0.22904, acc = 0.91767 || [ Valid | 075/200 ] loss = 0.88015, acc = 0.77705
[ Train | 076/200 ] loss = 0.22578, acc = 0.92321 || [ Valid | 076/200 ] loss = 1.00381, acc = 0.75491
[ Train | 077/200 ] loss = 0.23270, acc = 0.91936 || [ Valid | 077/200 ] loss = 0.90551, acc = 0.77828
[ Train | 078/200 ] loss = 0.22119, acc = 0.92328 || [ Valid | 078/200 ] loss = 0.91133, acc = 0.77469
[ Train | 079/200 ] loss = 0.21429, acc = 0.92601 || [ Valid | 079/200 ] loss = 0.88110, acc = 0.77524
[ Train | 080/200 ] loss = 0.20549, acc = 0.93021 || [ Valid | 080/200 ] loss = 0.95044, acc = 0.77780
[ Train | 081/200 ] loss = 0.21210, acc = 0.92805 || [ Valid | 081/200 ] loss = 0.84463, acc = 0.78343
[ Train | 082/200 ] loss = 0.22078, acc = 0.92180 || [ Valid | 082/200 ] loss = 0.89990, acc = 0.77395
[ Train | 083/200 ] loss = 0.19663, acc = 0.93135 || [ Valid | 083/200 ] loss = 0.86253, acc = 0.79081 -> best
[ Train | 084/200 ] loss = 0.22347, acc = 0.92254 || [ Valid | 084/200 ] loss = 0.95167, acc = 0.77097
[ Train | 085/200 ] loss = 0.19779, acc = 0.93086 || [ Valid | 085/200 ] loss = 0.82231, acc = 0.79242 -> best
[ Train | 086/200 ] loss = 0.18804, acc = 0.93687 || [ Valid | 086/200 ] loss = 0.86923, acc = 0.78393
[ Train | 087/200 ] loss = 0.18836, acc = 0.93529 || [ Valid | 087/200 ] loss = 0.93859, acc = 0.79323 -> best
[ Train | 088/200 ] loss = 0.20072, acc = 0.93423 || [ Valid | 088/200 ] loss = 0.91377, acc = 0.77996
[ Train | 089/200 ] loss = 0.18227, acc = 0.93630 || [ Valid | 089/200 ] loss = 1.16407, acc = 0.74407
[ Train | 090/200 ] loss = 0.18107, acc = 0.93918 || [ Valid | 090/200 ] loss = 0.92339, acc = 0.78170
