[ Train | 001/200 ] loss = 2.32940, acc = 0.21143 || [ Valid | 001/200 ] loss = 2.20740, acc = 0.26945 -> best
[ Train | 002/200 ] loss = 2.02245, acc = 0.30323 || [ Valid | 002/200 ] loss = 1.88239, acc = 0.33476 -> best
[ Train | 003/200 ] loss = 1.81087, acc = 0.37651 || [ Valid | 003/200 ] loss = 1.68771, acc = 0.41721 -> best
[ Train | 004/200 ] loss = 1.67459, acc = 0.42623 || [ Valid | 004/200 ] loss = 1.99203, acc = 0.36868
[ Train | 005/200 ] loss = 1.58613, acc = 0.45587 || [ Valid | 005/200 ] loss = 1.69130, acc = 0.44250 -> best
[ Train | 006/200 ] loss = 1.51846, acc = 0.47593 || [ Valid | 006/200 ] loss = 1.52214, acc = 0.49836 -> best
[ Train | 007/200 ] loss = 1.42441, acc = 0.51371 || [ Valid | 007/200 ] loss = 1.57137, acc = 0.49904 -> best
[ Train | 008/200 ] loss = 1.35173, acc = 0.53379 || [ Valid | 008/200 ] loss = 1.51531, acc = 0.49578
[ Train | 009/200 ] loss = 1.30871, acc = 0.55087 || [ Valid | 009/200 ] loss = 1.30628, acc = 0.55827 -> best
[ Train | 010/200 ] loss = 1.24118, acc = 0.57762 || [ Valid | 010/200 ] loss = 1.55684, acc = 0.52318
[ Train | 011/200 ] loss = 1.18105, acc = 0.59871 || [ Valid | 011/200 ] loss = 1.37248, acc = 0.55952 -> best
[ Train | 012/200 ] loss = 1.14410, acc = 0.61524 || [ Valid | 012/200 ] loss = 1.30880, acc = 0.58374 -> best
[ Train | 013/200 ] loss = 1.09773, acc = 0.62647 || [ Valid | 013/200 ] loss = 1.14897, acc = 0.62550 -> best
[ Train | 014/200 ] loss = 1.04086, acc = 0.63853 || [ Valid | 014/200 ] loss = 1.23006, acc = 0.61035
[ Train | 015/200 ] loss = 1.01575, acc = 0.64923 || [ Valid | 015/200 ] loss = 1.12767, acc = 0.63071 -> best
[ Train | 016/200 ] loss = 0.97436, acc = 0.66343 || [ Valid | 016/200 ] loss = 1.11820, acc = 0.64091 -> best
[ Train | 017/200 ] loss = 0.94926, acc = 0.67597 || [ Valid | 017/200 ] loss = 1.19347, acc = 0.63747
[ Train | 018/200 ] loss = 0.90813, acc = 0.69028 || [ Valid | 018/200 ] loss = 1.14048, acc = 0.64691 -> best
[ Train | 019/200 ] loss = 0.89588, acc = 0.69321 || [ Valid | 019/200 ] loss = 1.24593, acc = 0.61440
[ Train | 020/200 ] loss = 0.84002, acc = 0.71198 || [ Valid | 020/200 ] loss = 1.19844, acc = 0.63706
[ Train | 021/200 ] loss = 0.82779, acc = 0.71603 || [ Valid | 021/200 ] loss = 1.03781, acc = 0.67672 -> best
[ Train | 022/200 ] loss = 0.79369, acc = 0.72750 || [ Valid | 022/200 ] loss = 0.94125, acc = 0.70087 -> best
[ Train | 023/200 ] loss = 0.76750, acc = 0.73565 || [ Valid | 023/200 ] loss = 0.99874, acc = 0.69073
[ Train | 024/200 ] loss = 0.74816, acc = 0.74625 || [ Valid | 024/200 ] loss = 0.90772, acc = 0.71657 -> best
[ Train | 025/200 ] loss = 0.70070, acc = 0.75831 || [ Valid | 025/200 ] loss = 1.11594, acc = 0.67223
[ Train | 026/200 ] loss = 0.71583, acc = 0.75667 || [ Valid | 026/200 ] loss = 1.04039, acc = 0.68860
[ Train | 027/200 ] loss = 0.68783, acc = 0.76091 || [ Valid | 027/200 ] loss = 0.99988, acc = 0.69187
[ Train | 028/200 ] loss = 0.66074, acc = 0.77569 || [ Valid | 028/200 ] loss = 0.97378, acc = 0.70596
[ Train | 029/200 ] loss = 0.63983, acc = 0.77992 || [ Valid | 029/200 ] loss = 1.04293, acc = 0.70238
[ Train | 030/200 ] loss = 0.61681, acc = 0.78613 || [ Valid | 030/200 ] loss = 0.97083, acc = 0.70019
[ Train | 031/200 ] loss = 0.62051, acc = 0.79004 || [ Valid | 031/200 ] loss = 1.00728, acc = 0.69562
[ Train | 032/200 ] loss = 0.59402, acc = 0.79387 || [ Valid | 032/200 ] loss = 1.26537, acc = 0.66629
[ Train | 033/200 ] loss = 0.57560, acc = 0.80145 || [ Valid | 033/200 ] loss = 1.24102, acc = 0.66266
[ Train | 034/200 ] loss = 0.56196, acc = 0.81087 || [ Valid | 034/200 ] loss = 0.99464, acc = 0.71176
[ Train | 035/200 ] loss = 0.54879, acc = 0.81329 || [ Valid | 035/200 ] loss = 0.94035, acc = 0.72786 -> best
[ Train | 036/200 ] loss = 0.52301, acc = 0.82063 || [ Valid | 036/200 ] loss = 0.93141, acc = 0.72971 -> best
[ Train | 037/200 ] loss = 0.51271, acc = 0.82081 || [ Valid | 037/200 ] loss = 1.00607, acc = 0.71012
[ Train | 038/200 ] loss = 0.50377, acc = 0.82804 || [ Valid | 038/200 ] loss = 1.07795, acc = 0.69536
[ Train | 039/200 ] loss = 0.49478, acc = 0.83175 || [ Valid | 039/200 ] loss = 0.95866, acc = 0.72207
[ Train | 040/200 ] loss = 0.48072, acc = 0.83669 || [ Valid | 040/200 ] loss = 1.05754, acc = 0.71496
[ Train | 041/200 ] loss = 0.47239, acc = 0.83940 || [ Valid | 041/200 ] loss = 1.04714, acc = 0.71909
[ Train | 042/200 ] loss = 0.45738, acc = 0.84206 || [ Valid | 042/200 ] loss = 0.96370, acc = 0.72553
[ Train | 043/200 ] loss = 0.45051, acc = 0.84633 || [ Valid | 043/200 ] loss = 0.90485, acc = 0.74251 -> best
[ Train | 044/200 ] loss = 0.42197, acc = 0.85369 || [ Valid | 044/200 ] loss = 1.04980, acc = 0.72196
[ Train | 045/200 ] loss = 0.40928, acc = 0.85492 || [ Valid | 045/200 ] loss = 1.09917, acc = 0.70712
[ Train | 046/200 ] loss = 0.41612, acc = 0.85831 || [ Valid | 046/200 ] loss = 1.01129, acc = 0.72257
