[ Train | 051/100 ] loss = 0.31162, acc = 0.89375 || [ Valid | 051/100 ] loss = 1.21368, acc = 0.70733
[ Train | 052/100 ] loss = 0.31219, acc = 0.88863 || [ Valid | 052/100 ] loss = 1.21497, acc = 0.72245
[ Train | 053/100 ] loss = 0.30214, acc = 0.89552 || [ Valid | 053/100 ] loss = 1.24183, acc = 0.71598
[ Train | 054/100 ] loss = 0.29913, acc = 0.89865 || [ Valid | 054/100 ] loss = 1.26168, acc = 0.71417
[ Train | 055/100 ] loss = 0.29039, acc = 0.89966 || [ Valid | 055/100 ] loss = 1.24626, acc = 0.72178
[ Train | 056/100 ] loss = 0.27816, acc = 0.90264 || [ Valid | 056/100 ] loss = 1.23270, acc = 0.71243
[ Train | 057/100 ] loss = 0.26391, acc = 0.90567 || [ Valid | 057/100 ] loss = 1.11789, acc = 0.74232 -> best
[ Train | 058/100 ] loss = 0.25680, acc = 0.90752 || [ Valid | 058/100 ] loss = 1.31646, acc = 0.70212
[ Train | 059/100 ] loss = 0.26647, acc = 0.90861 || [ Valid | 059/100 ] loss = 1.35955, acc = 0.71746
[ Train | 060/100 ] loss = 0.24582, acc = 0.91280 || [ Valid | 060/100 ] loss = 1.27594, acc = 0.71880
[ Train | 061/100 ] loss = 0.22926, acc = 0.92044 || [ Valid | 061/100 ] loss = 1.39081, acc = 0.70742
[ Train | 062/100 ] loss = 0.24350, acc = 0.91296 || [ Valid | 062/100 ] loss = 1.28820, acc = 0.72209
[ Train | 063/100 ] loss = 0.23081, acc = 0.91804 || [ Valid | 063/100 ] loss = 1.30816, acc = 0.71444
[ Train | 064/100 ] loss = 0.23704, acc = 0.91766 || [ Valid | 064/100 ] loss = 1.41450, acc = 0.70762
[ Train | 065/100 ] loss = 0.23550, acc = 0.91704 || [ Valid | 065/100 ] loss = 1.35528, acc = 0.72303
[ Train | 066/100 ] loss = 0.22674, acc = 0.92079 || [ Valid | 066/100 ] loss = 1.25029, acc = 0.72845
[ Train | 067/100 ] loss = 0.22947, acc = 0.91952 || [ Valid | 067/100 ] loss = 1.33092, acc = 0.70249
[ Train | 068/100 ] loss = 0.21763, acc = 0.92617 || [ Valid | 068/100 ] loss = 1.24934, acc = 0.72641
[ Train | 069/100 ] loss = 0.20386, acc = 0.93085 || [ Valid | 069/100 ] loss = 1.24519, acc = 0.73201
[ Train | 070/100 ] loss = 0.20286, acc = 0.93145 || [ Valid | 070/100 ] loss = 1.34055, acc = 0.73451
[ Train | 071/100 ] loss = 0.20130, acc = 0.93024 || [ Valid | 071/100 ] loss = 1.39588, acc = 0.71668
[ Train | 072/100 ] loss = 0.21802, acc = 0.91974 || [ Valid | 072/100 ] loss = 1.28124, acc = 0.73451
