[ Train | 001/200 ] loss = 2.26306, acc = 0.27798 || [ Valid | 001/200 ] loss = 1.96460, acc = 0.31279 -> best
[ Train | 002/200 ] loss = 1.80746, acc = 0.36882 || [ Valid | 002/200 ] loss = 1.71396, acc = 0.40216 -> best
[ Train | 003/200 ] loss = 1.67016, acc = 0.42418 || [ Valid | 003/200 ] loss = 1.67167, acc = 0.42663 -> best
[ Train | 004/200 ] loss = 1.56492, acc = 0.46498 || [ Valid | 004/200 ] loss = 1.62263, acc = 0.45271 -> best
[ Train | 005/200 ] loss = 1.45646, acc = 0.49411 || [ Valid | 005/200 ] loss = 1.80486, acc = 0.42229
[ Train | 006/200 ] loss = 1.37398, acc = 0.53100 || [ Valid | 006/200 ] loss = 1.45065, acc = 0.51434 -> best
[ Train | 007/200 ] loss = 1.29396, acc = 0.55420 || [ Valid | 007/200 ] loss = 1.25291, acc = 0.57226 -> best
[ Train | 008/200 ] loss = 1.24153, acc = 0.57728 || [ Valid | 008/200 ] loss = 1.60263, acc = 0.48512
[ Train | 009/200 ] loss = 1.18493, acc = 0.59004 || [ Valid | 009/200 ] loss = 1.21654, acc = 0.57705 -> best
[ Train | 010/200 ] loss = 1.12163, acc = 0.61655 || [ Valid | 010/200 ] loss = 1.29927, acc = 0.55184
[ Train | 011/200 ] loss = 1.07727, acc = 0.63199 || [ Valid | 011/200 ] loss = 1.33592, acc = 0.56122
[ Train | 012/200 ] loss = 1.04342, acc = 0.64225 || [ Valid | 012/200 ] loss = 1.11208, acc = 0.62636 -> best
[ Train | 013/200 ] loss = 0.99917, acc = 0.65425 || [ Valid | 013/200 ] loss = 1.14203, acc = 0.61975
[ Train | 014/200 ] loss = 0.96655, acc = 0.66698 || [ Valid | 014/200 ] loss = 1.25089, acc = 0.56911
[ Train | 015/200 ] loss = 0.93406, acc = 0.68257 || [ Valid | 015/200 ] loss = 1.07884, acc = 0.63376 -> best
[ Train | 016/200 ] loss = 0.92309, acc = 0.68884 || [ Valid | 016/200 ] loss = 1.02141, acc = 0.66262 -> best
[ Train | 017/200 ] loss = 0.87874, acc = 0.70119 || [ Valid | 017/200 ] loss = 1.33846, acc = 0.57821
[ Train | 018/200 ] loss = 0.85490, acc = 0.70465 || [ Valid | 018/200 ] loss = 1.02842, acc = 0.66683 -> best
[ Train | 019/200 ] loss = 0.83188, acc = 0.71382 || [ Valid | 019/200 ] loss = 0.92349, acc = 0.69457 -> best
[ Train | 020/200 ] loss = 0.81246, acc = 0.72075 || [ Valid | 020/200 ] loss = 1.00950, acc = 0.66191
[ Train | 021/200 ] loss = 0.79076, acc = 0.72817 || [ Valid | 021/200 ] loss = 0.92520, acc = 0.70523 -> best
[ Train | 022/200 ] loss = 0.76653, acc = 0.74186 || [ Valid | 022/200 ] loss = 0.91866, acc = 0.68932
[ Train | 023/200 ] loss = 0.74713, acc = 0.74099 || [ Valid | 023/200 ] loss = 1.01261, acc = 0.66319
[ Train | 024/200 ] loss = 0.72513, acc = 0.75206 || [ Valid | 024/200 ] loss = 1.00499, acc = 0.68870
[ Train | 025/200 ] loss = 0.70849, acc = 0.75767 || [ Valid | 025/200 ] loss = 1.09769, acc = 0.66419
[ Train | 026/200 ] loss = 0.68897, acc = 0.76528 || [ Valid | 026/200 ] loss = 0.96954, acc = 0.68824
[ Train | 027/200 ] loss = 0.67288, acc = 0.76591 || [ Valid | 027/200 ] loss = 1.00460, acc = 0.69010
[ Train | 028/200 ] loss = 0.67338, acc = 0.76591 || [ Valid | 028/200 ] loss = 0.97471, acc = 0.69771
[ Train | 029/200 ] loss = 0.64646, acc = 0.77854 || [ Valid | 029/200 ] loss = 0.90678, acc = 0.72078 -> best
[ Train | 030/200 ] loss = 0.62640, acc = 0.78668 || [ Valid | 030/200 ] loss = 1.02418, acc = 0.66278
[ Train | 031/200 ] loss = 0.61418, acc = 0.79008 || [ Valid | 031/200 ] loss = 0.86444, acc = 0.72408 -> best
[ Train | 032/200 ] loss = 0.60284, acc = 0.79229 || [ Valid | 032/200 ] loss = 0.94674, acc = 0.71094
[ Train | 033/200 ] loss = 0.59217, acc = 0.79809 || [ Valid | 033/200 ] loss = 0.87957, acc = 0.71792
[ Train | 034/200 ] loss = 0.57035, acc = 0.80530 || [ Valid | 034/200 ] loss = 0.93871, acc = 0.70424
[ Train | 035/200 ] loss = 0.56494, acc = 0.81050 || [ Valid | 035/200 ] loss = 1.00162, acc = 0.69903
[ Train | 036/200 ] loss = 0.53109, acc = 0.81768 || [ Valid | 036/200 ] loss = 0.84596, acc = 0.73549 -> best
[ Train | 037/200 ] loss = 0.52836, acc = 0.81849 || [ Valid | 037/200 ] loss = 0.80652, acc = 0.74368 -> best
[ Train | 038/200 ] loss = 0.52469, acc = 0.82011 || [ Valid | 038/200 ] loss = 0.90475, acc = 0.72148
[ Train | 039/200 ] loss = 0.51085, acc = 0.82722 || [ Valid | 039/200 ] loss = 0.91605, acc = 0.71664
[ Train | 040/200 ] loss = 0.48838, acc = 0.83258 || [ Valid | 040/200 ] loss = 0.86559, acc = 0.74541 -> best
[ Train | 041/200 ] loss = 0.47589, acc = 0.83976 || [ Valid | 041/200 ] loss = 0.91801, acc = 0.74202
[ Train | 042/200 ] loss = 0.46814, acc = 0.83739 || [ Valid | 042/200 ] loss = 0.99748, acc = 0.70924
[ Train | 043/200 ] loss = 0.46081, acc = 0.84356 || [ Valid | 043/200 ] loss = 0.83727, acc = 0.74731 -> best
[ Train | 044/200 ] loss = 0.45115, acc = 0.84494 || [ Valid | 044/200 ] loss = 0.77744, acc = 0.76753 -> best
[ Train | 045/200 ] loss = 0.44515, acc = 0.84593 || [ Valid | 045/200 ] loss = 0.81903, acc = 0.76521
[ Train | 046/200 ] loss = 0.42674, acc = 0.85573 || [ Valid | 046/200 ] loss = 0.85295, acc = 0.74095
[ Train | 047/200 ] loss = 0.41874, acc = 0.85788 || [ Valid | 047/200 ] loss = 0.83775, acc = 0.75417
[ Train | 048/200 ] loss = 0.41304, acc = 0.85828 || [ Valid | 048/200 ] loss = 0.91844, acc = 0.74905
[ Train | 049/200 ] loss = 0.38928, acc = 0.86536 || [ Valid | 049/200 ] loss = 0.80643, acc = 0.75165
[ Train | 050/200 ] loss = 0.39569, acc = 0.86252 || [ Valid | 050/200 ] loss = 0.96373, acc = 0.74533
[ Train | 051/200 ] loss = 0.38324, acc = 0.86745 || [ Valid | 051/200 ] loss = 0.88082, acc = 0.73392
[ Train | 052/200 ] loss = 0.38167, acc = 0.86932 || [ Valid | 052/200 ] loss = 0.83947, acc = 0.75529
[ Train | 053/200 ] loss = 0.36986, acc = 0.87313 || [ Valid | 053/200 ] loss = 0.83304, acc = 0.75703
[ Train | 054/200 ] loss = 0.36471, acc = 0.87528 || [ Valid | 054/200 ] loss = 0.84259, acc = 0.76004
[ Train | 055/200 ] loss = 0.33800, acc = 0.88220 || [ Valid | 055/200 ] loss = 0.83024, acc = 0.77484 -> best
[ Train | 056/200 ] loss = 0.35951, acc = 0.87690 || [ Valid | 056/200 ] loss = 0.88483, acc = 0.74661
[ Train | 057/200 ] loss = 0.34063, acc = 0.88171 || [ Valid | 057/200 ] loss = 0.80456, acc = 0.77273
[ Train | 058/200 ] loss = 0.32990, acc = 0.88567 || [ Valid | 058/200 ] loss = 0.92136, acc = 0.73789
[ Train | 059/200 ] loss = 0.32008, acc = 0.89025 || [ Valid | 059/200 ] loss = 0.82516, acc = 0.77439
[ Train | 060/200 ] loss = 0.32100, acc = 0.88960 || [ Valid | 060/200 ] loss = 0.94804, acc = 0.74165
[ Train | 061/200 ] loss = 0.32488, acc = 0.88776 || [ Valid | 061/200 ] loss = 0.75986, acc = 0.78088 -> best
[ Train | 062/200 ] loss = 0.29243, acc = 0.89852 || [ Valid | 062/200 ] loss = 0.84138, acc = 0.77633
[ Train | 063/200 ] loss = 0.28664, acc = 0.90254 || [ Valid | 063/200 ] loss = 0.88245, acc = 0.76302
[ Train | 064/200 ] loss = 0.29779, acc = 0.89992 || [ Valid | 064/200 ] loss = 0.84185, acc = 0.76414
[ Train | 065/200 ] loss = 0.27188, acc = 0.90591 || [ Valid | 065/200 ] loss = 0.88919, acc = 0.77311
[ Train | 066/200 ] loss = 0.28941, acc = 0.89783 || [ Valid | 066/200 ] loss = 0.76765, acc = 0.77108
[ Train | 067/200 ] loss = 0.27219, acc = 0.90357 || [ Valid | 067/200 ] loss = 0.85563, acc = 0.78791 -> best
[ Train | 068/200 ] loss = 0.26696, acc = 0.90734 || [ Valid | 068/200 ] loss = 0.94327, acc = 0.76583
[ Train | 069/200 ] loss = 0.26250, acc = 0.90719 || [ Valid | 069/200 ] loss = 1.00211, acc = 0.75331
[ Train | 070/200 ] loss = 0.25379, acc = 0.91352 || [ Valid | 070/200 ] loss = 0.79341, acc = 0.78435
[ Train | 071/200 ] loss = 0.24635, acc = 0.91289 || [ Valid | 071/200 ] loss = 0.89186, acc = 0.77803
[ Train | 072/200 ] loss = 0.25490, acc = 0.90990 || [ Valid | 072/200 ] loss = 0.92441, acc = 0.75984
[ Train | 073/200 ] loss = 0.24756, acc = 0.91495 || [ Valid | 073/200 ] loss = 0.92445, acc = 0.77501
[ Train | 074/200 ] loss = 0.24443, acc = 0.91492 || [ Valid | 074/200 ] loss = 0.79136, acc = 0.78848 -> best
[ Train | 075/200 ] loss = 0.23675, acc = 0.91944 || [ Valid | 075/200 ] loss = 0.79855, acc = 0.79022 -> best
[ Train | 076/200 ] loss = 0.24597, acc = 0.91367 || [ Valid | 076/200 ] loss = 0.97154, acc = 0.76612
[ Train | 077/200 ] loss = 0.23512, acc = 0.91829 || [ Valid | 077/200 ] loss = 0.96089, acc = 0.76314
[ Train | 078/200 ] loss = 0.23593, acc = 0.91642 || [ Valid | 078/200 ] loss = 0.88502, acc = 0.77228
[ Train | 079/200 ] loss = 0.21432, acc = 0.92680 || [ Valid | 079/200 ] loss = 1.10225, acc = 0.75616
[ Train | 080/200 ] loss = 0.21716, acc = 0.92340 || [ Valid | 080/200 ] loss = 0.92076, acc = 0.78125
[ Train | 081/200 ] loss = 0.22094, acc = 0.92259 || [ Valid | 081/200 ] loss = 0.88013, acc = 0.77245
[ Train | 082/200 ] loss = 0.20172, acc = 0.93223 || [ Valid | 082/200 ] loss = 0.95692, acc = 0.76248
[ Train | 083/200 ] loss = 0.20754, acc = 0.92733 || [ Valid | 083/200 ] loss = 0.97633, acc = 0.76492
[ Train | 084/200 ] loss = 0.23655, acc = 0.91601 || [ Valid | 084/200 ] loss = 0.74904, acc = 0.81118 -> best
[ Train | 085/200 ] loss = 0.19625, acc = 0.93157 || [ Valid | 085/200 ] loss = 1.08055, acc = 0.75951
[ Train | 086/200 ] loss = 0.20829, acc = 0.92827 || [ Valid | 086/200 ] loss = 0.87903, acc = 0.78154
[ Train | 087/200 ] loss = 0.19576, acc = 0.93279 || [ Valid | 087/200 ] loss = 0.84496, acc = 0.79034
[ Train | 088/200 ] loss = 0.19978, acc = 0.92730 || [ Valid | 088/200 ] loss = 0.83597, acc = 0.80444
[ Train | 089/200 ] loss = 0.19992, acc = 0.93042 || [ Valid | 089/200 ] loss = 0.80467, acc = 0.80229
[ Train | 090/200 ] loss = 0.18903, acc = 0.93566 || [ Valid | 090/200 ] loss = 1.17048, acc = 0.72615
[ Train | 091/200 ] loss = 0.19803, acc = 0.92945 || [ Valid | 091/200 ] loss = 0.84038, acc = 0.80163
[ Train | 092/200 ] loss = 0.19216, acc = 0.93469 || [ Valid | 092/200 ] loss = 0.85423, acc = 0.79241
[ Train | 093/200 ] loss = 0.17005, acc = 0.94062 || [ Valid | 093/200 ] loss = 0.86630, acc = 0.79671
[ Train | 094/200 ] loss = 0.18099, acc = 0.93872 || [ Valid | 094/200 ] loss = 0.96557, acc = 0.78369
[ Train | 095/200 ] loss = 0.19324, acc = 0.93332 || [ Valid | 095/200 ] loss = 1.04280, acc = 0.75723
[ Train | 096/200 ] loss = 0.16536, acc = 0.94349 || [ Valid | 096/200 ] loss = 0.95236, acc = 0.78791
[ Train | 097/200 ] loss = 0.19372, acc = 0.93366 || [ Valid | 097/200 ] loss = 0.83042, acc = 0.79737
[ Train | 098/200 ] loss = 0.18715, acc = 0.93454 || [ Valid | 098/200 ] loss = 1.00833, acc = 0.78179
[ Train | 099/200 ] loss = 0.17164, acc = 0.94071 || [ Valid | 099/200 ] loss = 0.88928, acc = 0.78609
[ Train | 100/200 ] loss = 0.16534, acc = 0.94311 || [ Valid | 100/200 ] loss = 0.90651, acc = 0.79158
[ Train | 101/200 ] loss = 0.17218, acc = 0.93990 || [ Valid | 101/200 ] loss = 0.82705, acc = 0.80878
