,0
0,
1,
2,
3,
4,
5,
6,
7,inf
8,inf
9,inf
10,1.4113610982894897
11,1.512803077697754
12,1.5641441345214844
13,1.5135204792022705
14,1.842864990234375
15,1.5180628299713135
16,1.8645528554916382
17,1.5842629671096802
18,1.486924409866333
19,1.578520655632019
20,1.486985683441162
21,1.7333794832229614
22,inf
23,1.6880916357040405
24,1.6206854581832886
25,1.6790320873260498
26,1.8233052492141724
27,1.9299389123916626
28,1.5957438945770264
29,1.4972493648529053
30,1.526296615600586
31,1.440398097038269
32,1.612564206123352
33,inf
34,1.672624111175537
35,2.0122995376586914
36,1.445006012916565
37,1.6464999914169312
38,1.8867716789245605
39,1.8448830842971802
40,1.448094129562378
41,1.6310920715332031
42,1.5610125064849854
43,1.369456171989441
44,1.4470529556274414
45,1.5952553749084473
46,1.4190189838409424
47,2.1253442764282227
48,1.3619818687438965
49,1.5044952630996704
50,1.6267163753509521
51,1.7585939168930054
52,1.439224362373352
53,1.3429313898086548
54,1.7267537117004395
55,1.3327659368515015
56,1.5052076578140259
57,1.426618218421936
58,1.2817708253860474
59,1.4454071521759033
60,1.1618894338607788
61,1.2038183212280273
62,1.2577872276306152
63,1.0929542779922485
64,1.3171992301940918
65,1.177953839302063
66,1.336521029472351
67,1.9713653326034546
68,1.5311264991760254
69,1.1714222431182861
70,1.987209677696228
71,1.2778195142745972
72,1.2914726734161377
73,1.251529574394226
74,1.5558758974075317
75,1.09885835647583
76,1.2641292810440063
77,1.8417130708694458
78,1.211742877960205
79,1.267975926399231
80,1.473809838294983
81,1.764379858970642
82,1.1496944427490234
83,1.465939998626709
84,1.0963873863220215
85,1.219641923904419
86,1.3818141222000122
87,1.1839417219161987
88,1.0786254405975342
89,1.2936514616012573
90,1.1105995178222656
91,0.9299008250236511
92,1.8515915870666504
93,1.0927009582519531
94,1.2933995723724365
95,1.1452502012252808
96,1.033554196357727
97,1.8547786474227905
98,0.851876974105835
99,1.1344267129898071
100,1.0723648071289062
101,1.0287322998046875
102,1.144818663597107
103,1.3794556856155396
104,0.9508934617042542
105,1.767696499824524
106,0.9493314623832703
107,0.9982660412788391
108,2.077561616897583
109,0.9765540957450867
110,0.7142515182495117
111,1.0321747064590454
112,1.0896403789520264
113,1.5182828903198242
114,1.3246793746948242
115,1.0148626565933228
116,1.089550256729126
117,0.9646975994110107
118,0.8148691654205322
119,0.8657519817352295
120,0.774597704410553
121,0.9443126320838928
122,0.7320533990859985
123,0.667571485042572
124,0.8770055770874023
125,0.7691807746887207
126,0.8053582310676575
127,0.8461061120033264
128,0.6397355794906616
129,2.301056146621704
130,0.8585812449455261
131,0.9627411365509033
132,0.8360068798065186
133,0.7328625917434692
134,1.1093086004257202
135,1.1645207405090332
136,0.7255452275276184
137,0.970014750957489
138,0.8257097005844116
139,0.5317891836166382
140,0.7550015449523926
